First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Connor,Shellenberger,A,1.0,Atlas,10,46,23,23,23,0,23,48,0.4791666666666667,37,0.7708333333333334,0,0.0,0,0.0,15,1,12,361,298,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,2.0,1,1,0,0,0,12,11
Michael,Sowers,A,22.0,Waterdogs,10,41,18,18,18,0,23,65,0.2769230769230769,50,0.7692307692307693,1,0.0,1,1.0,25,0,8,325,235,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0,14,4
Jeff,Teat,A,7.0,Atlas,10,40,17,17,17,0,23,69,0.2463768115942029,42,0.6086956521739131,2,0.0,2,1.0,23,1,18,376,284,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,4,0,0,0,9,8
Pat,Kavanagh,A,51.0,Outlaws,10,37,21,21,21,0,16,90,0.2333333333333333,60,0.6666666666666666,2,0.0,0,0.0,24,5,22,454,340,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,7,5.0,0,5,0,0,0,9,12
Chris,Kavanagh,A,96.0,Redwoods,10,37,25,23,21,2,12,78,0.2948717948717949,51,0.6538461538461539,7,0.2857142857142857,7,1.0,12,4,23,405,315,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,2.0,0,1,0,0,0,11,12
Asher,Nolting,A,32.0,Cannons,10,36,10,10,10,0,26,37,0.2702702702702703,23,0.6216216216216216,0,0.0,0,0.0,22,2,11,292,233,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,2.0,0,0,0,0,0,6,4
Brennan,O'Neill,A,42.0,Outlaws,10,34,26,23,20,3,8,85,0.2705882352941176,49,0.5764705882352941,10,0.3,3,0.3,12,1,17,365,268,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,9,0,0,0,18,5
TJ,Malone,A,7.0,Whipsnakes,10,33,19,18,17,1,14,62,0.2903225806451613,42,0.6774193548387096,2,0.5,2,1.0,15,1,11,314,237,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,2,0,0,0,11,7
Dylan,Molloy,A,4.0,Redwoods,10,32,27,26,25,1,5,87,0.2988505747126437,51,0.5862068965517241,4,0.25,2,0.5,17,2,16,301,197,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,1.5,3,10,0,0,0,11,15
Kieran,McArdle,A,6.0,Waterdogs,10,31,19,19,19,0,12,52,0.3653846153846153,40,0.7692307692307693,0,0.0,0,0.0,23,0,12,284,209,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,3,5,0,0,0,6,13
Aidan,Carroll,A,12.0,Whipsnakes,10,29,21,21,21,0,8,55,0.3818181818181818,42,0.7636363636363637,1,0.0,0,0.0,13,1,6,294,226,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.5,1,3,0,0,0,9,12
Jackson,Eicher,A,19.0,Chaos,10,28,19,18,17,1,9,70,0.2571428571428571,41,0.5857142857142857,9,0.1111111111111111,7,0.7777777777777778,16,0,6,228,142,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,2,5,0,0,0,6,12
Matt,Campbell,M,20.0,Cannons,10,28,20,18,16,2,8,63,0.2857142857142857,43,0.6825396825396826,15,0.1333333333333333,9,0.6,8,0,6,280,209,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,11,7
Owen,Hiltz,A,77.0,Chaos,7,27,16,16,16,0,11,46,0.3478260869565217,34,0.7391304347826086,2,0.0,2,1.0,15,3,9,209,148,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,1,1,0,0,0,7,9
Matt,Brandau,M,41.0,Whipsnakes,10,25,22,22,22,0,3,58,0.3793103448275862,41,0.7068965517241379,1,0.0,0,0.0,11,2,16,241,172,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,2,2,0,0,0,10,12
Marcus,Holman,A,1.0,Cannons,10,24,19,14,9,5,5,55,0.2545454545454545,34,0.6181818181818182,19,0.2631578947368421,13,0.6842105263157895,11,4,24,376,310,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.5,2,4,0,0,0,3,11
Sam,King,A,9.0,Archers,10,24,14,13,12,1,10,39,0.3333333333333333,22,0.5641025641025641,2,0.5,2,1.0,20,3,9,223,164,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,1,1,0,0,0,8,5
Xander,Dickson,A,10.0,Atlas,10,24,22,22,22,0,2,54,0.4074074074074074,39,0.7222222222222222,1,0.0,0,0.0,12,4,28,172,106,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,2,4,0,0,0,1,21
Andrew,McAdorey,M,2.0,Redwoods,10,24,15,14,13,1,9,41,0.3414634146341463,27,0.6585365853658537,4,0.25,3,0.75,12,3,16,263,210,0.3157894736842105,6,13,19,0.0,0,0.0,0,0.0,0,0,2,2.0,0,2,0,0,0,13,1
Bryan,Costabile,M,26.0,Atlas,10,23,19,16,13,3,4,62,0.2580645161290322,38,0.6129032258064516,17,0.1764705882352941,8,0.4705882352941176,21,4,12,277,194,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,4,0,0,0,9,7
Ryder,Garnsey,A,50.0,Redwoods,10,22,14,14,14,0,8,48,0.2916666666666667,35,0.7291666666666666,5,0.0,1,0.2,18,2,22,325,259,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,11,3
Jared,Bernhardt,M,10.0,Outlaws,9,22,18,18,18,0,4,53,0.3396226415094339,33,0.6226415094339622,0,0.0,0,0.0,17,0,8,236,166,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,1.5,3,5,0,0,0,14,4
Logan,Wisnauskas,A,12.0,Outlaws,10,21,13,13,13,0,8,43,0.3023255813953488,31,0.7209302325581395,3,0.0,2,0.6666666666666666,20,0,8,250,187,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,2.0,3,4,0,0,0,3,10
Rob,Pannell,A,3.0,Whipsnakes,8,20,7,7,7,0,13,42,0.1666666666666666,27,0.6428571428571429,0,0.0,0,0.0,19,2,10,271,210,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,1,0,0,0,6,1
Connor,Fields,A,5.0,Archers,10,20,14,14,14,0,6,47,0.2978723404255319,31,0.6595744680851063,0,0.0,0,0.0,16,3,15,254,191,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,2,3,0,0,0,4,10
Ryan,Drenner,M,22.0,Cannons,10,20,18,18,18,0,2,39,0.4615384615384615,24,0.6153846153846154,2,0.0,2,1.0,5,2,4,212,168,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,3,4,0,0,0,8,10
Ross,Scott,M,15.0,Chaos,10,20,12,12,12,0,8,38,0.3157894736842105,25,0.6578947368421053,0,0.0,0,0.0,15,0,8,247,194,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0,7,5
Coulter,Mackesy,A,91.0,Cannons,8,20,15,15,15,0,5,54,0.2777777777777778,35,0.6481481481481481,4,0.0,2,0.5,11,1,10,247,182,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,2.0,3,4,0,0,0,6,9
Matt,Traynor,M,2.0,Atlas,10,20,12,12,12,0,8,52,0.2307692307692307,29,0.5576923076923077,2,0.0,2,1.0,13,2,16,189,124,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,2,6,0,0,0,5,7
Mac,O'Keefe,A,7.0,Archers,10,18,11,10,9,1,7,48,0.2083333333333333,35,0.7291666666666666,8,0.125,5,0.625,9,1,11,205,148,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,1,5,0,0,0,1,9
Connor,Kelly,M,40.0,Waterdogs,10,17,13,10,7,3,4,61,0.1639344262295081,25,0.4098360655737705,17,0.1764705882352941,6,0.3529411764705882,11,2,8,224,152,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,7,0,0,0,6,4
Jack,Hannah,M,3.0,Waterdogs,10,17,15,15,15,0,2,59,0.2542372881355932,35,0.5932203389830508,7,0.0,4,0.5714285714285714,15,1,20,236,162,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.5,1,7,0,0,0,10,5
Dalton,Young,M,11.0,Outlaws,10,17,11,11,11,0,6,25,0.44,20,0.8,0,0.0,0,0.0,7,2,8,172,140,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,1,2,0,0,0,6,5
Adam,Charalambides,A,8.0,Chaos,9,16,14,14,14,0,2,50,0.28,31,0.62,2,0.0,1,0.5,18,1,7,271,203,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,5,3.5,2,4,0,0,0,6,8
Tom,Schreiber,M,26.0,Archers,8,15,6,6,6,0,9,34,0.1764705882352941,18,0.5294117647058824,3,0.0,1,0.3333333333333333,21,2,8,207,152,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,2,0,0,0,3,3
Brad,Smith,M,27.0,Whipsnakes,10,15,14,10,6,4,1,46,0.217391304347826,24,0.5217391304347826,15,0.2666666666666666,11,0.7333333333333333,14,1,10,258,198,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,2,5,0,0,0,6,4
Thomas,McConvey,M,12.0,Waterdogs,10,15,13,13,13,0,2,30,0.4333333333333333,23,0.7666666666666667,1,0.0,0,0.0,5,1,11,171,136,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,3,0,0,0,4,9
Josh,Zawada,A,79.0,Chaos,8,14,9,9,9,0,5,31,0.2903225806451613,23,0.7419354838709677,0,0.0,0,0.0,14,1,10,264,219,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,2,7
Jake,Taylor,A,10.0,Waterdogs,9,14,11,11,11,0,3,33,0.3333333333333333,25,0.7575757575757576,0,0.0,0,0.0,9,0,12,87,45,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,1,1,0,0,0,4,7
CJ,Kirst,A,15.0,Waterdogs,4,13,9,9,9,0,4,27,0.3333333333333333,20,0.7407407407407407,0,0.0,0,0.0,3,1,4,102,72,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0,7,2
Dyson,Williams,M,51.0,Archers,10,13,12,12,12,0,1,28,0.4285714285714285,23,0.8214285714285714,1,0.0,0,0.0,6,0,5,76,42,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,2,0,0,0,4,8
Adam,Poitras,M,51.0,Whipsnakes,10,13,8,8,8,0,5,32,0.25,23,0.71875,0,0.0,0,0.0,10,1,35,209,167,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,3,5
Reid,Bowering,M,98.0,Atlas,7,13,10,10,10,0,3,20,0.5,17,0.85,0,0.0,0,0.0,5,1,17,95,70,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,3,5,0,0,0,2,8
Jake,Piseno,LSM,88.0,Outlaws,10,12,8,5,2,3,4,15,0.3333333333333333,7,0.4666666666666667,11,0.2727272727272727,4,0.3636363636363636,7,12,34,88,66,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,4
Zach,Currier,M,77.0,Waterdogs,10,11,8,8,8,0,3,30,0.2666666666666666,20,0.6666666666666666,1,0.0,1,1.0,11,3,38,197,156,0.1,1,9,10,0.0,0,0.0,0,0.0,0,0,2,2.0,0,0,0,0,0,5,3
Grant,Ament,M,16.0,Archers,8,11,3,3,3,0,8,32,0.09375,14,0.4375,1,0.0,1,1.0,17,1,4,215,166,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,0
Shane,Knobloch,M,27.0,Chaos,4,11,7,6,5,1,4,22,0.2727272727272727,12,0.5454545454545454,1,1.0,1,1.0,4,0,4,84,58,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,1
Justin,Anderson,M,21.0,Outlaws,10,10,9,9,9,0,1,27,0.3333333333333333,14,0.5185185185185185,3,0.0,0,0.0,9,3,15,148,112,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,0,0,0,2,7
Romar,Dennis,M,5.0,Redwoods,8,10,9,5,1,4,1,42,0.119047619047619,21,0.5,25,0.16,13,0.52,1,1,4,162,119,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,5,0,0,0,3,2
Connor,Kirst,M,34.0,Cannons,10,10,8,7,6,1,2,29,0.2413793103448276,15,0.5172413793103449,7,0.1428571428571428,4,0.5714285714285714,14,1,12,109,66,0.3636363636363636,8,14,22,0.0,0,0.0,0,0.0,0,0,2,1.5,0,0,0,0,0,1,6
Will,Manny,A,0.0,Cannons,5,10,7,7,7,0,3,23,0.3043478260869565,16,0.6956521739130435,0,0.0,0,0.0,5,2,4,94,66,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,1,0,0,0,1,6
Michael,Grace,LSM,20.0,Atlas,8,10,6,4,2,2,4,6,0.6666666666666666,5,0.8333333333333334,4,0.5,3,0.75,1,6,18,58,51,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,0,0,0,0,4
Levi,Anderson,M,88.0,Whipsnakes,8,10,9,9,9,0,1,32,0.28125,23,0.71875,0,0.0,0,0.0,6,1,3,115,77,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0,6,3
Colin,Heacock,M,10.0,Whipsnakes,8,9,8,8,8,0,1,27,0.2962962962962963,17,0.6296296296296297,3,0.0,0,0.0,4,1,1,98,67,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,0,0,0,0,8
Jake,Stevens,M,14.0,Atlas,10,9,9,9,9,0,0,33,0.2727272727272727,20,0.6060606060606061,1,0.0,0,0.0,16,1,10,116,67,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,0,0,0,0,0,1,8
Graham,Bundy,M,0.0,Outlaws,10,9,7,4,1,3,2,38,0.1052631578947368,22,0.5789473684210527,22,0.1363636363636363,13,0.5909090909090909,3,1,5,226,185,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,1,4,0,0,1,1,3
Aidan,Danenza,M,88.0,Redwoods,6,9,9,9,9,0,0,28,0.3214285714285714,18,0.6428571428571429,2,0.0,0,0.0,7,0,4,116,81,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,1,3,0,0,0,2,7
Josh,Balcarcel,M,34.0,Redwoods,10,9,7,7,7,0,2,22,0.3181818181818182,20,0.9090909090909092,2,0.0,1,0.5,7,0,6,158,129,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,0,0,0,0,1,6,1
JJ,Sillstrop,M,51.0,Chaos,10,8,5,5,5,0,3,22,0.2272727272727272,18,0.8181818181818182,0,0.0,0,0.0,9,2,3,141,110,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,2
Ryan,Terefenko,SSDM,34.0,Outlaws,10,8,6,5,4,1,2,15,0.3333333333333333,10,0.6666666666666666,5,0.2,2,0.4,8,2,18,142,119,0.0,0,6,6,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,1,4
Charlie,Bertrand,M,41.0,Redwoods,7,8,5,5,5,0,3,26,0.1923076923076923,17,0.6538461538461539,2,0.0,1,0.5,6,0,5,113,81,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,3,0,0,0,4,1
Ryan,Ambler,M,13.0,Archers,9,8,7,7,7,0,1,19,0.3684210526315789,11,0.5789473684210527,1,0.0,0,0.0,8,0,4,107,80,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0,2,5
Mason,Woodward,LSM,77.0,Archers,10,8,6,3,0,3,2,11,0.2727272727272727,7,0.6363636363636364,10,0.3,6,0.6,4,6,23,73,58,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,4,2.5,0,0,0,0,0,1,2
Sergio,Perkovic,M,30.0,Chaos,7,7,6,5,4,1,1,31,0.1612903225806451,19,0.6129032258064516,10,0.1,7,0.7,6,0,1,121,84,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,4,0,0,0,1,4
Matt,Moore,A,11.0,Archers,4,7,6,6,6,0,1,25,0.24,15,0.6,4,0.0,2,0.5,7,0,6,115,83,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,1,2,0,0,0,2,4
TD,Ierlan,FO,6.0,Redwoods,10,6,3,3,3,0,3,12,0.25,8,0.6666666666666666,0,0.0,0,0.0,5,2,74,76,59,0.6048387096774194,150,97,248,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,1
